ProductServicesID,OrigName,Name
1311653,1103,1103
1591442,"""12""""candle Stand Luster Glass Vase Golden""",Glass Vase
1591443,"""15""""candle Stand Luster Glass Vase Golden""",Glass Vase
621119,"""15""""candle Stand Luster Glass Vase Red""",Glass Vase
1591444,"""18"""" Candle Stand Luster Glass Vase Golden""",Glass Vase
621120,"""18"""" Candle Stand Luster Glass Vase Red""",Glass Vase
620827,"""Ball Candle 2""""  Golden""",Ball Candle
223546,"""Ball Candle 2"""" Pink""",Ball Candle
620828,"""Ball Candle 2"""" Pink""",Ball Candle
620829,"""Ball Candle 2"""" Red""",Ball Candle
620830,"""Ball Candle 2"""" Silver""",Ball Candle
620831,"""Ball Candle 2"""" White""",Ball Candle
1591463,"""Ball Candle 3"""" Red""",Ball Candle
620832,"""Ball Candle 3"""" Yellow""",Ball Candle
620833,"""Ball Candle 4 """" Red""",Ball Candle
620834,"""Ball Candle 4 """" Silver""",Ball Candle
621100,"""Beaded Square Tray 7 X7""""""",Beaded Square Tray
621106,"""Cadbury Pot 12""""""",Cadbury Pot
621107,"""Cadbury Pot 4/5""""""",Cadbury Pot
620811,"""Cane Basket Boat 7x5""""""",Invalid
620817,"""Cane Basket Oval 11X7""""""",Invalid
223536,"""Cane Basket Oval 5x3""""""",Invalid
620819,"""Cane Basket Oval 5x3""""""",Invalid
620821,"""Cane Basket Oval-9x6""""""",Invalid
620823,"""Cane Basket Round 5""""""",Invalid
223542,"""Cane Basket Round 7""""""",Invalid
620824,"""Cane Basket Round 7""""""",Invalid
620825,"""Cane Basket Round 9""""""",Invalid
223544,"""Cane Basket Square 9""""""",Invalid
620826,"""Cane Basket Square 9""""""",Invalid
1336855,"""Golden Rose 11""""(Big)""",Golden Roses
621133,"""Round Gola 5"""" Glass Vase with box""",Glass Vase
621134,"""Round Gola 8"""" Glass Vase With Box""",Glass Vase
1336857,"""Silver Rose  11"""" (Big)""",Silver Roses
2864977,"""teddy 6"""" (fnp agra b)""",Teddy
2777732,"""teddy 6"""" (fnp agra L)""",Teddy
223822,"""Teddy with Heart 6"""" Pink""",Teddy
621079,"""Teddy with Heart 6"""" Pink""",Teddy
223823,"""Teddy with Heart 6"""" White""",Teddy
621080,"""Teddy with Heart 6"""" White""",Teddy
2727872,"""teddy""""""",Teddy
2720399,"""teddy10""""""",Teddy
2870264,1 kg Blackforest cake,Blackforest Cake
2853540,1 KG egglesTruffle Cake(fnp agra),Truffle Cake
2753009,1 KG FRESH FRUITS  CAKE,Fresh Fruit Cake
3062648,1 KG PINEAPPLE CAKE,Pineapple Cake
2769261,1 kg pineapple cake (fnp agar),Pineapple Cake
2957612,1 kg square black forest cake(fnp agra),Blackforest Cake
3166924,1 Kg Strawberry Cake,Strawberry Cake
2935850,1 Kg White Forest,White Forest Cake
3285919,1.5kg Chocolate Chocochip Cake(FNP BALUGANJ),Chocolate Chocochip Cake
3091749,1.5Kg Mango Cake(FNP BALUGANJ),Mango Cake
2917713,1.5kg Ractangle Chocolate cake,Chocolate Cake
2855748,10 Colorful Rose Bunch,Roses
2607291,10 Dairy Milk Chocolates 12gms each with basket n gift wraping,Cadbury Dairy Milk
2776939,10 mix carnations,Carnations
2786650,10 Mix colour roses,Roses
2748662,10 pink carnation glass vase,Carnations
2775397,10 Pink Carnations  5 Pink Roses  2 White Asiatic Lilies,"Bunch Of Carnations, Roses And Lily"
2776880,10 pink carnations(fnp agra),Carnations
2865072,10 Pink roses  5 red roses and 10 white carnation,"Bunch Of Carnations, Roses And Lily"
2751351,10 PINK ROSES (FNP AGRA),Pink Roses
2850377,10 Purple Orchids  1 Samadhan Glass Vase 6 Inches(fnp agra),Purple Orchids
2914448,10 Red Carnation (FNP AGRA),Carnations
2756604,10 red roses (fnp agra),Red Roses
2777405,10 red roses (fnp agra),Red Roses
2844244,10 Red Roses Bunch,Red Roses
2783147,10 red&white roses 6' teddy 10 dairy milk@13gm(fnp agra L),"Roses, Teddy And Dairy Milk"
3243842,10 roses bunch,Red Roses
2752915,10 yellow carnations(fnp agra)250,Carnations
1310591,100 LOVE REASONS CARD,100 Love Reasons Card
98383,100 Strings of Love,100 Strings Of Love
1311292,11000 ILV 01132,11000 Ilv 01132
98505,12 Baby Pink,Pink Roses
2782194,12 Carnations(fnp agra),Carnations
2775629,12 mix roses(fnpagra),Roses
2769262,12 Orange roses  12 Yellow carnation,Roses And Carnation
2852608,12 Pink Rose  12 Blue Orchids  Round Glass Vase,Roses And Orchids
2809909,12 pink roses(fnp agra),Pink Roses
2891424,12 Purple Orchids  10 White Carnations and 6 Pink Roses(fnp agra),Orchid And Carnations
2776108,12 red roses with glass vase(fnp agra),Red Roses
2781661,12 red roses(fnp agra),Red Roses
2784985,12' teddy bear(fnp agra),Teddy
98506,12 White Carnations,Carnations
2740637,12 yellow roses,Yellow Roses
2820867,12 yellow roses(fnp agra L),Yellow Roses
621096,12614-Gift Items,12614-Gift Items
1311478,1299 15196 08-15-GLASS CANDLE HOLDER WITH T-LIGHT,Glass Candle Holder With T-Light
1311481,1299 BK141393 08-15-BUDDHA CANDLE HOLDER,Buddha Candle Holder
2836321,14 pink roses  3 White Roses  12 purple Orchids.,Roses And Orchids
98871,15 Pink Carnations,Carnations
