ProductServicesID,UID,Code,Name,Price,Category,ProductCat
98185,22575,EXP2343,Grace The Occasion,0,6106,Grace The Occasion
98186,22575,EXP143,Passionate Pink,0,6106,Passionate Pink
98187,22575,EXP3953,Passionate Pink 10 Rose,0,6106,Passionate Pink
98188,22575,EXP174,Roses N Chocolaty Love,0,6106,Roses N Chocolaty Love
98189,22575,EXP1306,Cool Classic,0,6106,Cool Classic
98190,22575,EXP178,Love Treat,0,6106,Love Treat
98191,22575,EXP2427,My Angel,0,6106,My Angel
98192,22575,EXP3949,Passionate Pink 15 Rose,0,6106,Passionate Pink
98193,22575,EXP2886,Pink Sweetness Reflected,0,6106,Pink Sweetness Reflected
98194,22575,EXP212,Sweet Celebrations,0,6106,Sweet Celebrations
98195,22575,EXP2696,Candle Light Desire,0,6106,Candle Light Desire
98196,22575,EXP3974,Colorful Hue 12,0,6106,Colorful Hue
98197,22575,EXP2462,Delightful Divine,0,6106,
98198,22575,EXP913,Fairest Of All,0,6106,
98199,22575,EXP5462,Love N Wishes,0,6106,
98200,22575,EXP1295,Pink N White Basket Of Flavours,0,6106,
98201,22575,EXP2807,Sunshiny Days,0,6106,
98202,22575,EXP2484,Timeless Romance,0,6106,
98203,22575,EXP274,Carnations N Lilies,0,6106,
98204,22575,EXP2363,Perfect Red,0,6106,
98205,22575,EXP281,Beauty In Fire,0,6106,
98206,22575,EXP1463,Cute Hamper,0,6106,
98207,22575,EXP210,My Colorful Wishes,0,6106,
98208,22575,EXP216,Pink Style,0,6106,
98209,22575,EXP142,Orchids N Chocolates,0,6106,
98210,22575,EXP6707,Worlds Best Friendship,0,6106,
98211,22575,EXP2420,Breath Taking Roses,0,6106,
98212,22575,EXP318,Bright N Sunny,0,6106,
98213,22575,EXP190,Celebrate Love,0,6106,
98214,22575,EXP2530,Simple Mix Emotions,0,6106,
98215,22575,EXP2904,Some One Special,0,6106,
98216,22575,EXP2711,Soulmate,0,6106,
98217,22575,EXP5475,Splendid Combo,0,6106,
98218,22575,EXP2882,Super Mom,0,6106,
98219,22575,EXP1491,Sweet Pink Basket,0,6106,
98220,22575,EXP6656,Symbol Of Greetings,0,6106,
98221,22575,EXP2412,Tall Moon Love,0,6106,
98222,22575,EXP1509,Thinking of you EXDFNP125,0,6106,Thinking of you
98223,22575,EXP6650,Token Of Gift,0,6106,
98224,22575,EXP6657,True Dreams,0,6106,
98225,22575,EXP861,Twinkle Twinkle,0,6106,
98226,22575,EXP2596,Unconditional Pure Love,0,6106,
98227,22575,EXP5309,Undefined Love,0,6106,
98228,22575,EXP565,Unfathomable love,0,6106,
98229,22575,EXP5313,Warmth of sunshine,0,6106,
98230,22575,EXP2519,White Roses,0,6106,
98231,22575,EXP2587,With Love,0,6106,
98232,22575,EXP3775,2 Days Magnificent Celebration,0,6106,
98233,22575,EXP2870,2 Days Serenades,0,6106,
98234,22575,EXP2687,3 Days Serenades,0,6106,
98235,22575,EXP3778,3 Days Shower Ur Love,0,6106,
98236,22575,EXP3771,3 Days Valentine Love Everyday,0,6106,
98237,22575,EXP3777,3 Days Valentine Serenades,0,6106,
98238,22575,EXP1046,4 DAYS SERENADE,0,6106,
98239,22575,EXP3780,4 Days Valentine day is not enough,0,6106,
98240,22575,EXP3782,7 Days Valentine Week full of Love,0,6106,
98241,22575,EXP2440,700 Roses Love Special,0,6106,
98242,22575,EXP548,A Beautiful Arrangement for the One You Love,0,6106,
98243,22575,EXP493,A Bowl of Happiness,0,6106,
98244,22575,EXP3776,A heartful of love,0,6106,
98245,22575,EXP579,A Melodious Surprise,0,6106,
98246,22575,EXP538,A Musical Dream,0,6106,
98247,22575,EXP488,A Soulful and Melodious Present,0,6106,
98248,22575,EXP4589,A True Friend,0,6106,
98249,22575,EXP677,Acoustic Beauty,0,6106,
98250,22575,EXP639,Allure of Music with Blooms,0,6106,
98251,22575,EXP491,Alluring Surprise,0,6106,
98252,22575,EXP366,An Evening to Cherish,0,6106,
98253,22575,EXP471,An Everlasting Smile,0,6106,
98254,22575,EXP5333,Appetizing Combo,0,6106,
98255,22575,EXP5342,Artistry at First Sight,0,6106,
98256,22575,EXP531,Ballad and the Galore of Flowers,0,6106,
98257,22575,EXP567,Beautiful Melodies,0,6106,
98258,22575,EXP483,Beauty and Melody,0,6106,
98259,22575,EXP5362,Beauty in Green,0,6106,
98260,22575,EXP632,Beauty  Taste and Music,0,6106,
98261,22575,EXP4597,Best Friend,0,6106,
98262,22575,EXP4599,Best Pals,0,6106,
98263,22575,EXP4608,Blessed by the Gods,0,6106,
98264,22575,EXP482,Blissful Notes,0,6106,
98265,22575,EXP5470,Bloom in Love,0,6106,
98266,22575,EXP573,Blooming and Melodious,0,6106,
98267,22575,EXP2369,Soft N Nutty,0,6106,
98268,22575,EXP831,Sunshine Flower,0,6106,
98269,22575,EXP2497,Sweet Heavenly Hamper,0,6106,
98270,22575,EXP2461,Tower Of Love,0,6106,
98271,22575,EXP2482,You Are Beautiful,0,6106,
98272,22575,EXP1083,You Deserve the Best,0,6106,
98273,22575,EXP1370,A Little Sunshine,0,6106,
