ProductServicesID|UID|Code|Name|Description|Price|Cost|Category|IsDelete|ForSale|Qty|MRP|ManufacturerID|ServiceDuration|TrackInventory|LastModifyDateTime|IsFavourite|CreatedOn|CreatedBy|LastModifyBy|SyncWithGodam|SyncDateTime|SubCategoryID|StyleCode|Color|Size|ISBN|ItemType|ValidityInDaysForGiftVoucher|ValidityInDaysForPackage|IsDefineItemForPackage|IsUniqueNo|UniqueLabel|MigrationID|EnableBatchTracking|StockKeepingUOM|PurchaseUOM|SalesUOM|IsRepack|ERPID|IsMRPTaxInclusive|IsSerialEnable|ItemGroupCode|IsTaxEnableForPackage|HSNCode|UseGlobalGSTTaxMaster|AllowDecimalInQty|NewProductServicesID|IsRechargable|ComputeAsAdditionalCharges|PrintGroupType
1031358|25457|8907233014175|mee mee bottle||229.00|167.17|26297|false|true|0.00|229.00|(null)|(null)|true|2017-05-12 17:00:04|(null)|2017-05-12 17:00:04|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029514|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|39233000|false|true|(null)|(null)|(null)|(null)
1031359|25457|8907233077484|mee mee nail cliper||179.00|142.49|26297|false|true|0.00|179.00|(null)|(null)|true|2017-05-12 17:31:08|(null)|2017-05-12 17:07:13|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029519|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|82140000|false|true|(null)|(null)|(null)|(null)
1031360|25457|8907233077545|mee mee nail cliper||179.00|130.67|26297|false|true|0.00|179.00|(null)|(null)|true|2017-05-12 17:31:08|(null)|2017-05-12 17:05:59|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029518|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|82140000|false|true|(null)|(null)|(null)|(null)
1031361|25457|8906008201710|bonne @1||33.00|23.00|26297|false|true|0.00|33.00|(null)|(null)|true|2017-11-21 16:38:45|(null)|2017-04-14 18:52:37|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1018580|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|(null)|(null)|true|(null)|(null)|(null)|(null)
1031362|25457|8906008201796|baby dry sheet||360.00|252.01|26297|false|true|0.00|360.00|(null)|(null)|true|2017-04-16 17:08:47|(null)|2017-04-16 17:08:47|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1020299|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|57050000|false|true|(null)|(null)|(null)|(null)
1031363|25457|8906008201802|baby dry mat||200.00|140.01|26297|false|true|0.00|200.00|(null)|(null)|true|2017-04-16 18:19:02|(null)|2017-04-16 17:07:24|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1020298|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|57050000|false|true|(null)|(null)|(null)|(null)
1031364|25457|8906008201994|tender flo||190.00|0.00|26297|false|true|0.00|190.00|(null)|(null)|true|2017-05-14 20:37:35|(null)|2017-05-14 20:37:35|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029922|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|22029090|false|true|(null)|(null)|(null)|(null)
1031365|25457|8906008202007|TENDER FLO||199.00|0.00|26297|false|true|0.00|199.00|(null)|(null)|true|2017-06-17 20:11:13|(null)|2017-06-17 20:11:13|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1044808|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|22029090|false|true|(null)|(null)|(null)|(null)
1031366|25457|8906008203011|bud jar||47.00|32.90|26297|false|true|0.00|47.00|(null)|(null)|true|2017-04-16 18:19:02|(null)|2017-04-16 17:13:29|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1020301|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|39233000|false|true|(null)|(null)|(null)|(null)
1031357|25457|8907233014168|mee mee bottle||229.00|167.17|26297|false|true|0.00|229.00|(null)|(null)|true|2017-05-12 16:54:48|(null)|2017-05-12 16:54:48|15721|15721|(null)|(null)|65401|(null)|(null)|(null)|(null)|1|0|0|false|false||1029512|false|39287|39287|39287|false|(null)|(null)|(null)|(null)|(null)|39233000|false|true|(null)|(null)|(null)|(null)
