ProductServicesID|UID|Code|Name|Price|Category
615952|24573|X781|MICROMAX X781|1237.00|15409
615953|24573|X900|MICROMAX X900|1599.00|15409
615954|24573|X970|MICROMAX X970|1200.00|15409
615955|24573|X916|MICROMAX X916|1299.00|15409
615956|24573|X603|MICROMAX|1100.00|15409
615957|24573|X591|MICROMAX X591|1149.00|15409
615958|24573|216|NOKIA 216|2600.00|15409
615959|24573|nokia 105 SINGLE SIN|Nokia 105 SINGLE SIM|1149.00|15409
615960|24573|NOKIA 105 DUAL SIM|NOKIA 105 DUAL SIM|1289.00|15409
615961|24573|NOKIA 130|NOKIA 130|1530.00|15409
615962|24573|NOKIA 230|NOKIA 230|3719.00|15409
615963|24573|NOKIA 150|NOKIA150|1805.00|15409
615964|24573|IT5612|ITEL IT 5612|1199.00|15409
615965|24573|IT5611|ITEL IT5611|1107.00|15409
615966|24573|IT5320|ITEL IT5320|1203.00|15409
615967|24573|IT 5602|ITEL IT5602|825.00|15409
615968|24573|IT2180|ITEL IT2180|723.00|15409
615969|24573|IT5311|ITEL IT5311|1233.00|15409
615970|24573|IT5233|ITEL IT5233|1800.00|15409
615951|24573|X605|MICROMAX X605|1300.00|15409
615950|24573|X770|MICROMAX X770|1500.00|15409
615949|24573|X556|MICROMAX X556|1200.00|15409
615948|24573|X707|MICROMAX X707|1499.00|15409
615947|24573|X717|MICROMAX X717|1499.00|15409
615946|24573|X802|MICROMAX|1299.00|15409
615945|24573|X908|MICROMAX|1031.00|15409
615944|24573|X406|MICROMAX|731.00|15409
615943|24573|X917|MICROMAX|969.00|15409
615942|24573|X990|MICROMAX |1515.00|15409
615941|24573|X704|MICROMAX X704|1500.00|15409
615940|24573|X610|MICROMAX X610|1400.00|15409
615939|24573|X090|MICROMAX X090|1000.00|15409
615938|24573|MICROMAX X607|X607|1000.00|15409
615937|24573|MICROMAX X805|X805|1100.00|15409
615936|24573|MICROMAX X072|MICROMAX X072|1200.00|15409
615935|24573|MICROMAX X071|MICROMAX X071|1000.00|15409
615934|24573|X551|MICROMAX|771.00|15409
615933|24573|MICROMAX X801|MICROMAX X801|1190.00|15409
615932|24573|X715|MICROMAX|1299.00|15409
615931|24573|X606|MICROMAX X606|1499.00|15409
615930|24573|X590|MICROMAX X590|819.00|15409
615929|24573|X701|MICROMAX X701|1149.00|15409
615928|24573|MICROMAX X601|MICROMAX X601|1085.00|15409
615971|24573|ITEL IT5040|ITEL IT5040|1500.00|15409
615972|24573|ITEL 5232|ITEL IT5232|1500.00|15409
615973|24573|ITEL IT5060|ITEL SHINE IT5060|1180.00|15409
615974|24573|IT5231|ITEL IT5231|1090.00|15409
615975|24573|IT5622|ITEL IT5622|1180.00|15409
615976|24573|IT5020|ITEL IT5020|893.00|15409
615977|24573|IT5623|ITEL IT5623|1250.00|15409
615978|24573|IT2130|ITEL IT2130|850.00|15409
615979|24573|IT5600|ITEL IT5600|1000.00|15409
615980|24573|KARBONN K9|KARBONN K9|1090.00|15409
615981|24573|B355E|SAMSUNG 355 METRO XL|3090.00|15409
615982|24573|B350E|SAMSUNG METRO 350|2725.00|15409
615983|24573|B313E|SAMSUNG METRO 313|1950.00|15409
615984|24573|B310E|SAMSUNG GURU MUSIC 2|1625.00|15409
615985|24573|B110E|SAMSUNG GURU PLUS|1385.00|15409
615986|24573|E1200|SAMSUNG GURU 1200|1175.00|15409
615987|24573|8806086878173|313|1990.00|15409
615988|24573|354474082066670|B313|1990.00|15409
615990|24573|KKT STAR 2|LALA KKT STAR 2|1600.00|15409
616009|24573|SPARK I7|LAVA SPARK I7|1900.00|15409
616046|24573|J320|SAMSUNG J 3 PRO|8900.00|15410
616013|24573|CAPTAIN N1|LAVA CAPTAIN N1|1100.00|15409
616015|24573|KKT28I|LAVA KKT28I|1800.00|15409
616019|24573|KKT 34 POWER|LAVA KKT 34 POWER|1680.00|15409
