ProductServicesID,UID,Code,Name,Price,Category
855921,27305,4,Kadak Chai,30.00,23682
856803,27305,5,Elaichi Chai,9.00,23682
856805,27305,6,Adrak Chai,40.00,23682
856806,27305,7,Masala Chai,20.00,23682
856807,27305,8,Luang Chai,20.00,23682
856808,27305,9,Cinnamon Chai,20.00,23682
856809,27305,10,Chocolate Chai,40.00,23682
856810,27305,11,Extra Adrak Flavor,10.00,23682
856811,27305,12,Extra Elaichi Flavor,1.00,23682
856812,27305,13,Green Tea,30.00,23687
856813,27305,14,Earl Grey,50.00,23687
856814,27305,15,Kesar Suleimani,5.57,23687
856815,27305,16,Kashmiri Kahwa,60.00,23687
856816,27305,17,Green Tea Lemon,50.00,23687
856817,27305,18,Green Tea Honey,50.00,23687
856819,27305,20,Morroccon Mint,60.00,23687
856820,27305,21,Mango Ice Tea,70.00,23688
856821,27305,22,Lemon Ice Tea,70.00,23688
856822,27305,23,Peach Ice Tea,70.00,23688
856823,27305,24,Orange Ice Tea,70.00,23688
856824,27305,25,Egg Burger,80.00,23689
856825,27305,26,Mr Fresher,80.00,23689
856826,27305,27,BBQ,80.00,23689
856827,27305,28,CK Tadka Burger,80.00,23689
856828,27305,29,Tom Mayo,80.00,23689
856829,27305,30,Egg Sandwich,50.57,23690
856830,27305,31,CK Sandwich,60.00,23690
856831,27305,32,Exotic Corn Mayo,120.00,23690
856832,27305,33,Cheese Chutney,80.00,23690
856834,27305,35,Veg Club,80.00,23690
856836,27305,37,Exotic Mayo Sandwich,80.00,23690
856837,27305,38,Desi Noodle,80.00,23702
856838,27305,39,Burnt Garlic Maggi,100.00,23702
856839,27305,40,Anda Noodle,100.00,23702
856840,27305,41,Mexican Maggi,100.00,23702
856841,27305,42,Italian Noodles,120.00,23702
856842,27305,43,Banana Shake,60.00,23692
856843,27305,44,Vanilla Shake,60.00,23692
856844,27305,45,Chocolate Shake,60.00,23692
856845,27305,46,Caramel Shake,100.00,23692
856846,27305,47,CK Secret Shake,120.00,23692
856847,27305,48,Mango Shake,80.00,23692
856848,27305,49,Kiwi Mint Banana,100.00,23693
856849,27305,50,Strawberry Smoothie,100.00,23693
856850,27305,51,Berry Blast,100.00,23693
856851,27305,52,Masala Lemonade,70.00,23694
856852,27305,53,Passion Fruit Lemonade,80.00,23694
856853,27305,54,Apple Mojito,80.00,23694
856854,27305,55,Cucumber Mint Splash,80.00,23694
856855,27305,56,Minty Melon,80.00,23694
856856,27305,57,Mexican Bhel,60.00,23695
856857,27305,58,Indori Upma,50.00,23695
856858,27305,59,Vegetable Upma,80.00,23695
856859,27305,60,Sprouts Raw,50.00,23695
856860,27305,61,Sprouts Sauted,50.00,23695
856861,27305,62,French Fries – Piri Piri,80.00,58896
856862,27305,63,CK Cheesy Blast,100.00,23695
856863,27305,64,Chilli Garlic Cheese Toast,80.00,23695
856864,27305,65,Nachos with Dip,120.00,23695
856866,27305,67,Half Fry,50.00,23696
856867,27305,68,Full Fry,50.00,23696
856868,27305,69,Masala Omlette,50.00,23696
856869,27305,70,Egg Ghotala,100.00,23696
856870,27305,71,White Sauce Pasta,75.00,23697
856871,27305,72,CK Pasta,120.00,23697
856872,27305,73,Veg Biryani,110.00,23698
856873,27305,74,Anda Biryani,130.00,23698
856875,27305,76,Indian Filter Kaapi,20.00,23685
856876,27305,77,Indian Filter Kaapi Large,40.00,23685
856877,27305,78,Sultan’s Kaapi,40.00,23685
856878,27305,79,Cinammon Kaapi,40.00,23685
856879,27305,80,Thandi Kaapi,25.00,23701
856880,27305,81,Frappe,50.00,23701
856881,27305,82,Vanilla Kaapi,60.00,23701
856882,27305,83,CK Secret Kaapi,100.00,23701
856883,27305,84,Chocolate Kaapi,60.00,23701
856884,27305,85,Orange Slush,40.00,23700
856885,27305,86,Mango Slush,40.00,23700
856886,27305,87,Strawberry Slush,40.00,23700
856887,27305,88,Kala Khatta Slush,40.00,23700
856888,27305,89,Masala Doodh Hot,50.00,23699
856889,27305,90,Masala Doodh Cold,50.00,23699
856890,27305,91,Hot Chocolate Large,18.50,23699
856891,27305,92,Thandi Gulabo,60.00,23699
856892,27305,93,Water Bottle 500 ML,7.50,23703
856893,27305,94,Water Bottle 1 Ltr,13.00,23703
856894,27305,95,Extra Cheese Slice,7.50,23703
856895,27305,96,Extra Cheese Grated,16.00,23703
856896,27305,97,Extra Burger Bun,20.00,23703
856897,27305,98,Extra IFC Decoaction,1.15,23703
856898,27305,99,Extra Dip,20.00,23703
856899,27305,100,Brownie Sundae,100.00,23703
856900,27305,101,Chocolate Wallnut Brownie,70.00,23703
856901,27305,102,Popping Bubbles,30.00,23703
856902,27305,103,Vanilla Ice Cream Scoop,30.00,23703
856903,27305,104,Chocolate Ice Cream Scoop,40.00,23703
856904,27305,105,Extra Sev,10.00,23703
856905,27305,106,Paneer Paties,20.00,23704
856906,27305,107,Baked Samosa,15.00,23704
856907,27305,108,Bana Ke,15.00,23703
856908,27305,109,Corn Puff,30.00,23704
856909,27305,110,Manchurian Puff,30.00,23704
864292,27305,111,Classic Maggi,30.00,23702
864293,27305,112,Vegetable Maggi,50.00,23702
864294,27305,113,Spicy Garlic Maggi,50.00,23702
871031,27305,114,Masala Nimbu Pani,30.00,23694
877978,27305,115,Scrap Key,1.00,23703
877981,27305,116,Nutella Bread Spread,60.00,23690
877983,27305,117,Garlic Butter Bread Spread,20.00,23690
937559,27305,119,Oreo Shake,120.00,23692
937560,27305,120,Mango Smoothie,120.00,23693
937561,27305,121,CK Nimbu Pani,80.00,23694
937562,27305,118,Honey Chilli Potato,100.00,23695
1054417,27305,122,Americano,30.00,23685
1054418,27305,123,CK Cheesy Blast Fries,0.00,58896
1054419,27305,124,Irani Chai,40.00,23682
1054420,27305,125,Maska Bun,5.50,23704
1054423,27305,126,CK Cheesy Blast Omelette,100.00,23696
1072941,27305,127,Masala Oats,40.00,23695
1072944,27305,128,Vegetabe Oats,50.00,23695
1191382,27305,155,Adrak Chai Large,0.00,23682
1191479,27305,156,Kadak Chai Large,17.00,23682
1191485,27305,157,Elaichi Chai Large,0.00,23682
1191497,27305,158,Masala Chai Large,0.00,23682
1191509,27305,159,Laung Chai Large,0.00,23682
1191511,27305,160,Cinnamon Chai Large,0.00,23682
1191528,27305,161,Chocolate Chai Large,0.00,23682
1308951,27305,RM083,Burger bun,8.00,35541
1308952,27305,RM084,Plain Loaf,25.00,35541
1308953,27305,RM085,Bread Slice,2.64,35541
1308954,27305,RM086,Egg,0.00,35541
1308955,27305,RM087,M Fold paper,0.00,35541
1308956,27305,RM088,Toilet Roll,0.00,35541
1308957,27305,RM089,Tissue,0.00,35541
1308958,27305,RM090,Aluminium Foil,0.00,35541
1308959,27305,RM091,Kitchen Roll ( utility roll ),0.00,35541
1308960,27305,RM092,Glass Cleaner,0.00,35541
1308961,27305,RM093,Floor Cleaner,87.32,35541
1308962,27305,RM001,Chilli honey sauce,107.14,35541
1308963,27305,RM002,Chocolate Hot Fudge,262.94,35541
1308964,27305,RM003,Tomato ketchup,62.84,35541
1308965,27305,RM004,Mayonnaise,83.05,35541
1308966,27305,RM005,Salsa sauce,0.11,35541
1308967,27305,RM006,Gouda cheese,154.00,35541
1308968,27305,RM007,Makhani Spread,154.00,35541
1308969,27305,RM008,Chilli Cheese Blend,137.50,35541
1308950,27305,RM082,Plastic Fork,0.00,35541
1308949,27305,RM081,Pasta container lid,0.00,35541
1308948,27305,RM080,Disposal Plates Small,0.00,35541
1308947,27305,RM079,Disposal Plates Big,0.00,35541
1308946,27305,RM078,Straw,0.00,35541
1308945,27305,RM077,Stirrer,0.00,35541
1308944,27305,RM076,Plastic Spoon,0.00,35541
1308943,27305,RM075,Pasta container,0.00,35541
1308942,27305,RM074,Paper Cup 100 ml Tea,0.00,35541
1308941,27305,RM073,Krusher lid,0.00,35541
1308940,27305,RM072,Krusher Glass 350,0.00,35541
1308939,27305,RM071,Hand Gloves,0.00,35541
1308938,27305,RM070,Comfort Cap,0.00,35541
1308937,27305,RM069,Water Glass,0.00,35541
1308936,27305,RM068,Ice Cube,12.00,35541
1308935,27305,RM067,Kashmiri Kahwa Pouch,5.90,35541
1308934,27305,RM066,Orange Tea Mix,0.00,35541
1308933,27305,RM065,Peach Tea Mix,0.00,35541
1308932,27305,RM064,Lemon Tea Mix,5.00,35541
1308931,27305,RM063,Kesar spice drop,4.67,35541
1308930,27305,RM062,Nachos,0.00,35541
1274939,27305,cmb2,Nachos Lemonade Combo,200.00,40086
1274774,27305,cmb1,Upma Kaapi Combo,100.00,40086
1191534,27305,162,Choco & Esp Mousse,0.00,23699
1308975,27305,RM014,Water Melon,0.03,35541
1309005,27305,RM044,Garbage bag large,0.00,35541
1309006,27305,RM045,Chips,130.00,35541
1309007,27305,RM046,Sev Barik,0.00,35541
1309008,27305,RM047,Ghotala mix masala,0.00,35541
